author,title,category,phrase_text,error,correction
By Peter the Human,A Song of Ice and Fire,Fantasy,"Wildfire is a flammable liquid that burns with a distinctive bright green flame. The Mad King's uncle Prince Aerion Targaryen perished in a Wildfire blast during Robert’s Rebellion, Stannis Baratheon’s fleet was damaged by a Wildfire explosion at the Battle of the Blackwater, and Cersei Lannister and Qyburn used Wildfire to destroy the Great Sept of Baelor.","The Mad King's uncle Prince Aerion Targaryen perished in a Wildfire blast during Robert’s Rebellion,","Um, actually, prince Aerion Targaryen didn't die in a Wildfire blast. Prince Aerion Targaryen died after trying to drink Wildfire, which (in his madness) he thought would turn him into a dragon."
By Peter the Human,The Good Place,Cartoons & TV,"Janets are anthropomorphized vessels of knowledge that can be found throughout the afterlife. Although there are three distinct varieties of Janets – Good, Bad and Neutral Janets – they all share some common characteristics: they can summon items at will, hide items in their Voids and function as walkie-talkies.","Although there are three distinct varieties of Janets – Good, Bad and Neutral Janets","Um, actually, there aren't three different varieties of Janets. There is a fourth type of Janet named “Disco Janet”."
By Peter the Human,Highlander,Fantasy,"“Highlander” follows Connor MacLeod - one of several immortal warriors who are destined to battle each other in a grand competition; united by a singular belief known as the Vermithax Perjorative: “In the end, there can be only one”. It is prophesized that the few immortals left will be drawn to a faraway land - namely, New York City - where they will battle for the Prize: the power of all immortals throughout time.","united by a singular belief known as the Vermithax Perjorative: “In the end, there can be only one”.","Um, actually, the belief that “there can be only one” isn't called the Vermithax Perjorative. “Vermithax Perjorative” is the name of the dragon from the film “Dragonslayer”."
By Peter the Human,His Dark Materials,Fantasy,"Dust (also known as Rusakov particles, Shadows, Shadow-Particles, Dark Matter or Sraf) is an elementary particle responsible for consciousness. Dust is itself conscious, and while humans can see Dust through technology such as the Amber Spyglass or chemical photograms, the only known way of communicating with it is through the alethiometer. Only six alethiometers were ever made, one of which is owned by Lyra Silvertongue.",the only known way of communicating with it is through the alethiometer.,"Um, actually, the alethiometer isn't the only method of communicating with Dust. Other methods include ""The Cave"", a computer developed by Mary Malone, the I Ching (a form of Chinese divination) and talking directly to Angels, who are beings of pure Dust."
By Peter the Human,Jonathan Strange & Mr. Norrell,Fantasy,"Set in an alternate history of 19th Century England, the novel opens with The Learned Society of York Magicians, whose members are ""theoretical magicians"" who study magical texts and history. The group is stunned to learn of a ""practical magician"", Mr. Gilbert Norrell. Mr. Norrell proves his skill as a magician by making a statue in York Cathedral disappear, thereafter compelling the society to disband.","Mr. Norrell proves his skill as a magician by making a statue in York Cathedral disappear, thereafter compelling the society to disband.","Um, actually, Mr. Norrell doesn't make the statue disappear. He makes the statues in York Cathedral speak."
By Peter the Human,Lord of the Rings,Fantasy,"As the Fellowship of the Ring leaves Lothlórien, Lady Galadriel gives each member present a gift. These include Frodo’s gift of The Light of Eärendil, a phial that emits light in the darkness; Legolas’ gift of the Bow of the Galadhrim; and Gimli’s gift of a silver belt as a token of good will between Dwarves and Elves.",and Gimli’s gift of a silver belt as a token of good will between Dwarves and Elves.,"Um, actually, Gimli's gift was not a belt. Gimli's gift was three of Galadriel's hairs which he wishes to preserve in the finest crystal."
By Peter the Human,Lord of the Rings,Fantasy,"Gandalf is a wizard of the Istari order. As a member of the Fellowship of the Ring, he was one of the companions Elrond chose to aid Frodo's quest to destroy the One Ring. After Gandalf the Grey died falling from a ledge in the Mines of Moria while fighting the Balrog known as Durin’s Bane; he later returned as Gandalf the White.",After Gandalf the Grey died falling from a ledge in the Mines of Moria while fighting the Balrog,"Um, actually, Gandalf doesn't die from the fall in the Mines of Moria. He survives the fall and dies ten days later after fighting the Balrog."
By Peter the Human,Percy Jackson & the Olympians,Fantasy,"The Percy Jackson series follows the story of the children of deities from Greek mythology in the modern day. Demigods possess supernatural powers that develop in their teens. However, due to Pandora’s Box being opened, Demigods are likely to have dyslexia and ADHD; and they begin to release a scent that attracts monsters with the onset of their powers.","However, due to Pandora’s Box being opened, Demigods are likely to have dyslexia and ADHD;","Um, actually, demigods' dyslexia and ADHD don't come from Pandora's Box. Demigods are dyslexic because their brains are hard-wired to read Ancient Greek, and their ADHD is to help them in battle."
By Peter the Human,The Princess Bride,Fantasy,"Westley, the farm-boy turned Dread Pirate Roberts, rescues Buttercup from her kidnapping by defeating three outlaws. He knocks out Inigo after defeating him in a fencing duel, chokes the giant Fezzik into unconsciousness, and drinks the poison-free goblet in his “Battle of Wits” against Vizzini.",and drinks the poison-free goblet in his “Battle of Wits” against Vizzini.,"Um, actually, Westley's goblet wasn't poison free. Westley poisoned both goblets, but had built up a resistance to the poisonous iocane powder."
By Peter the Human,The Secret of NIMH,Fantasy,"""The Secret of NIMH"" follows timid field mouse Mrs. Brisby as she ventures to save her home and son Timothy. Mrs. Brisby meets the wise and mystical rat Nicodemus, the leader of a group of rats who were given human intelligence by their god Nimh. Nicodemus gifts Mrs. Brisby with a magical amulet that activates when the wearer is courageous.","Nicodemus, the leader of a group of rats who were given human intelligence by their god Nimh.","Um, actually, the rats aren't intelligent because of the god Nimh. NIMH is short for ""National Institue of Mental Health"" - where the rats and mice were experimented on, giving them human intelligence."
By Peter the Human,Shadow and Bone,Fantasy,"The Netflix series adapts two book series from Leigh Bardugo's Grishaverse - the “Shadow and Bone” trilogy and the “Six of Crows” duology. In both the books and the TV series, the Sun Summoner Alina Starkov wears Morozova's collar - a collar made from the antlers of a magical stag - around her neck to amplify her powers.",the Sun Summoner Alina Starkov wears Morozova's collar - a collar made from the antlers of a magical stag - around her neck to amplify her powers.,"Um, actually, she doesn't wear the collar in the TV adaptation. In the TV series, the collar is physically embedded into Alina’s body by the Darkling."
By Peter the Human,Skyrim,Games,"The Greybeards are an ancient order that are masters of Thu’um – a form of magic which utilises the Dragon Language to form immensely powerful Dragon Shouts. By the time of the Fourth Era, the only Greybeards left are the four monks that dwell in High Hrothgar and Ulfric Stormcloak, who defied the orders’ belief that Thu’um should only be used in the worship of Kynareth.","By the time of the Fourth Era, the only Greybeards left are the four monks that dwell in High Hrothgar and Ulfric Stormcloak,","Um, actually, those aren't the only remaining Greybeards. The list misses out the dragon Paarthurnax, who is the leader of the Greybeards."
By Peter the Human,Spellsinger,Fantasy,"The “Spellsinger” novel series follows the misadventures of law student Jonathan Thomas ""Jon-Tom"" Meriweather, who is transported to a fantasy world mostly populated by talking anthropomorphic animals. Although he initially believes he has become schizophrenic and is hallucinating, Jon-Tom eventually accepts his new reality and discovers he can wield the power of a spellsinger: a mage who can use songs to cast spells.","Although he initially believes he has become schizophrenic and is hallucinating, Jon-Tom eventually accepts his new reality","Um, actually, Jon-Tom doesn't think he's schizophrenic. He was high on marijuana when he got transported, and initially assumes he's tripping."
By Peter the Human,Time Travel,Fantasy,"Time travel doesn't always have to be high-tech! In “Outlander”, Claire Randall is transported back in time by the standing stones at Craigh na Dun to the year 1743. In “Kindred”, Dana meets her enslaved ancestors after she is transported back in time by a voodoo priestess. And in “Army of Darkness”, Ash is transported back in time to the Middle Ages through a portal opened by an incantation in the Necronomicon.","In “Kindred”, Dana meets her enslaved ancestors after she is transported back in time by a voodoo priestess.","Um, actually, Dana wasn't transported back in time by a voodoo priestess. In the 1979 book, it's never explained how or why the time travel occurs. In the 2022 TV miniseries, it's caused by Dana experiencing fear."
By Peter the Human,Vampires,Fantasy,"Nothing’s scarier than bureaucracy! Vampire fiction has many clandestine orders, such as the New Orleans-based Authority in “True Blood”; The Elite Council in “Underworld” that guide the Vampire Elders; the Volturi in the “Twilight” Saga, based in Transylvania and sworn to prevent the creation of immortal children, and the Camarilla in the “World of Darkness” RPGs, that enforce the ‘Masquerade’ that keeps the existence of vampires secret.","the Volturi in the “Twilight” Saga, based in Transylvania and sworn to prevent the creation of immortal children,","Um, actually, the Volturi aren't based in Transylvania. They are based in Volterra in Italy."
By Peter the Human,Wednesday,Fantasy,"As well as playing the titular character, Jenna Ortega also played Goody Addams, who Wednesday sees in her visions. A distant ancestor of her father Gomez; Goody Addams also had similar psychic powers to Wednesday and killed the villainous founder of the town of Jericho, Joseph Crackstone.",A distant ancestor of her father Gomez; Goody Addams also had similar psychic powers to Wednesday,"Um, actually, Goody Addams isn't an ancestor of Gomez. She's an ancestor of Morticia."
By Peter the Human,The Wheel of Time,Fantasy,"Hunting down the Chosen One is difficult - especially if you're not sure who they are. Such is the problem faced by Moiraine Damodred in ""The Eye of the World"". After an army of orcs in the service of The Dark One attacks the town of Emond's Field, three boys who live in the town are forced to flee. Moiraine deduces that one of the three boys - Rand, Mat and Perrin - is the Dragon Reborn; but she is initially unsure who it is.","After an army of orcs in the service of The Dark One attacks the town of Emond's Field,","Um, actually, Emond's Field wasn't attacked by orcs. Orcs are from Lord of the Rings - The Dark One's army are called Trollocs or Shadowspawn."
By Peter the Human,The Witcher,Fantasy,"Witchers, such as Geralt of Rivia, are monster slayers for hire that have undergone extensive training and repeated exposure to alchemical processes and mutagenic compounds. Witchers have cat-like eyes, white hair, exceptional strength, prolonged youthfulness and carry two swords on their back: a steel sword for normal threats, and a silver sword for fighting supernatural beings.","Witchers have cat-like eyes, white hair, exceptional strength,","Um, actually, not all Witchers have white hair. Geralt does, due to the mutigens he was exposed to; but this is not common to all Witchers."
By Peter the Human,Animal Crossing: New Horizons,Games,"“Animal Crossing: New Horizons” saw the return of Tom Nook - and his eye-wateringly high debts! Players find themselves and two villagers booked on the Nook Inc. Deserted Island Getaway Package. To progress in the game, players must pay the 49,800 Bells cost: although the package does include the brand new NookPhone.","To progress in the game, players must pay the 49,800 Bells cost:","Um, actually, players don't have to pay Bells. Since the player has no Bells at the start of the game, Tom sets the cost of the package as being 5,000 NookMiles."
By Peter the Human,Borderlands 2,Games,"“Borderlands 2” villain Handsome Jack is more than just a pretty face – he has taken over the Hyperion corporation, declared himself the dictator of the planet Pandora and has launched a moonbase called Hyperion, which he uses to control the ECHOnet system and place the planet under full surveillance. His ultimate goal, however, is to cleanse Pandora of bandits using The Warrior – a dragon-like Eridian superweapon. ","a moonbase called Hyperion, which he uses to control the ECHOnet system and place the planet under full surveillance.","Um, actually, handsome Jack doesn't control ECHONet using the Hyperion moonbase. He gains control of ECHOnet and surveillance using his daughter Angel – who can ‘phaseshift’ to act like an Artificial Intelligence."
By Peter the Human,Call of Cthulhu,Games,"Lovecraftian tabletop RPG “Call of Cthulhu” includes a mechanism that determines how damaged a character’s sanity is at any given point. A player’s Sanity Points, or SAN, will decrease when they encounter horrific creatures; but can be regained by learning the tools needed to defeat the monsters, such as mystic knowledge and magic.","but can be regained by learning the tools needed to defeat the monsters, such as mystic knowledge and magic.","Um, actually, sanity can't be regained through learning mystic knowledge and magic. In fact, that will decrease the player's SAN even further."
By Peter the Human,Clue / Cluedo,Games,"Have you got a “Clue”? In 2023, Hasbro released a new version of the classic board game. Prior to this, the British edition of the game (titled “Cluedo”, shortened from the original title of “Cluedunnit?”) differed slightly from the American version - the British version had Reverend Green and the deceased Dr. Black; while some American editions had Mr. Green and Mr. Boddy. The 2023 game, in both the UK and America, now have Mayor Green and Boden 'Boddy' Black Jr.","the British edition of the game (titled “Cluedo”, shortened from the original title of “Cluedunnit?”)","Um, actually, Cluedo isn't short for Cluedunnit. The title Cluedo comes from a combination of “Clue” and “Ludo” - the British name for Parcheesi."
By Peter the Human,Fallout 3,Games,"While the Capitol Wasteland is populated with strange creatures like Deathclaws, Glowing Ones and Radroaches, the humans can be just as bizarre. They include Butch DeLoria, the leader of Vault 101’s greaser-gang the Tunnel Snakes, President John Henry Eden, who is prone to telling untrue stories about his idyllic childhood in Kentucky, and a group of clones named ‘Gary’ who can only say the word ‘Gary’.","the humans can be just as bizarre. They include Butch DeLoria, the leader of Vault 101’s greaser-gang the Tunnel Snakes, President John Henry Eden,","Um, actually, president Eden isn’t a human. He is a supercomputer."
By Peter the Human,Hellblade: Senua's Sacrifice,Games,"“Hellblade: Senua’s Sacrifice” follows the story Senua, a Pict warrior venturing into Helheim to save her dead lover Dillion from the goddess of death Hela by using his pendant as a vessel for his soul. The game's developers worked closely with neuroscientists to accurately represent psychosis: Senua hears voices in her head and is haunted by an entity known as the ""Darkness"" - symptoms that she interprets as a curse.",to save her dead lover Dillion from the goddess of death Hela by using his pendant as a vessel for his soul.,"Um, actually, Senua doesn't use a pendant as a vessel. She uses Dillion's severed head."
By Peter the Human,Konami Code,Games,"The “Konami Code” - Up, Up, Down, Down, Left, Right, Left, Right, B, A (or equivalent button prompts on consoles), sometimes followed by Start or Select - is a cheat code that features in many games published by Konami. Entering the code unlocks several powerups in Gradius, gives the player 30 lives in Contra and replenishes health without expending a first aid kit in Silent Hill 3.",and replenishes health without expending a first aid kit in Silent Hill 3.,"Um, actually, the Konami Code doesn't replenish health in Silent Hill 3. Entering the Konami Code in Silent Hill 3 makes the character Douglas Cartland appear in his underpants during cutscenes."
By H2,The Legend of Zelda: Ocarina of Time,Games,"In “The Legend of Zelda: Ocarina of Time”, Link uses the titular ocarina to travel through time between the “child” and “adult” timelines. Link must travel back and forth across the two times, set 7 years apart, in order to awaken the sages and ultimately defeat Ganondorf.",Link uses the titular ocarina to travel through time between the “child” and “adult” timelines.,"Um, actually, Link doesn't use the Ocarina to travel through time. Link uses the Ocarina to open the Temple of Time which contains the Master Sword - which allows him to travel through time."
By Peter the Human,Mario Kart,Games,"Rainbow Road has featured in every Mario Kart game throughout the series, being the final course of the Special Cup each time. Despite its iconic nature, it has never been featured in a Nintendo game outside of the Kart series: although it was seen in the background of Rosalina’s announcement trailer for “Super Smash Bros. Ultimate”, it was not a playable stage within the game.","Despite its iconic nature, it has never been featured in a Nintendo game outside of the Kart series:","Um, actually, Rainbow Road has appeared outside of the Mario Kart series. It has also featured in Mario Hoops 3-on-3, Super Mario Galaxy 2, Super Smash Bros. for Nintendo 3DS and Paper Mario: Color Splash"
By Shinitenshi,Mass Effect 2,Games,"In the mission “A House Divided”, Shepard faces off against a faction of Geth, a race of sentient machines. This faction, called the Heretics, are set to annihilate organic life. To stop them, Shepard must choose between peacefully negotiating with the Heretics, which awards Paragon points, or destroying the Heretics base using an antimatter bomb, which awards Renegade points.","Shepard must choose between peacefully negotiating with the Heretics, which awards Paragon points,","Um, actually, Shepherd doesn't peacefully negotiate with the Geth in the ""Paragon"" route. The option that earns you Paragon Points is releasing an EMP that forcibly rewrites their minds."
By Shinitenshi,Metal Gear Solid,Games,"In “Metal Gear Solid”, Solid Snake battles FOXHOUND, a former US Black Ops Unit who overtakes a base in Alaska. Their members include Revolver Ocelot, an interrogator who uses six-shooters in combat, the disguise artist Decoy Octopus who is killed by Snake in hand-to-hand combat, and Psycho Mantis – a psychic who breaks the fourth wall and reads the memory of the system the game is played on.","the disguise artist Decoy Octopus who is killed by Snake in hand-to-hand combat,","Um, actually, Decoy Octopus wasn’t killed in hand-to-hand combat. Snake was unknowingly infected with a virus called FOXDIE – Decoy Octopus, while disguised as DARPA Chief Donald Anderson, was exposed to the virus and died of a heart attack."
By Peter the Human,Minecraft,Games,"The Nether is an eerie, Hell-like dimension that can only be accessed through a Nether Portal. Although dangerous, players may choose to venture into the Nether to find items useful in brewing potions, mine materials such as Glowstone or Nether Quartz, and obtain unique items from mobs such as Wither Skeletons and Blazes – and since night and day aren’t visible in the Nether, players may sleep to set their spawn point at any time.","and since night and day aren’t visible in the Nether, players may sleep to set their spawn point at any time.","Um, actually, players cannot sleep in the Nether. If you sleep in the Nether, your bed will explode, insta-killing you."
By Peter the Human,Pokémon,Games,"Let’s talk about Pokémon evolution chains! Geodude evolves into Graveler who evolves into Golem. Slowpoke evolves into Slowbro, who evolves into Slowking. Elekid evolves into Electabuzz, who evolves into Electivire. Cleffa evolves into Clefairy, who evolves into Cleafable. And, of course, Igglybuff evolves into Jigglypuff, who evolves into Wigglytuff.","Slowpoke evolves into Slowbro, who evolves into Slowking.","Um, actually, Slowbro doesn't evolve into Slowking. Slowpoke can either evolve into Slowbro or Slowking, but it's not an evolution chain like the other three listed here."
By Peter the Human,Pokémon,Games,"Cubone is a Generation I Ground Type Pokémon, which evolves into Marowak at level 28. A small, bipedal, dinosaur-like creature; it wields a bone as a weapon (allowing it to learn the unique moves Bone Club and Bonemerang), and has a tough, skull-like exoskeleton attached to its head, which may explain its Battle Armour ability.","and has a tough, skull-like exoskeleton attached to its head,","Um, actually, Cubone doesn't have an exoskeleton. Cubone wears its dead mother's head as a helmet."
By Peter the Human,Portal,Games,"Shortly after “Portal” players are given their Weighted Companion Cube - a waist-high crate with a pink love heart on each side - GLaDOS informs the player character, Chell, that the cube must be euthanised in an Emergency Intelligence Incinerator to proceed. After doing so, GLaDOS informs Chell that she euthanised her companion cube more quickly than any test subject on record, the Cube is burnt up, never to be seen again.","and the Cube is burnt up, never to be seen again.","Um, actually, the Companion Cube is seen again. The Cube is seen after the end credits of Portal, and a burnt Companion Cube (implied to be Chell’s) is seen at the very end of Portal 2."
By Peter the Human,Professor Layton,Games,"The “Professor Layton” series consists of several games where the titular criminology professor and his young (self-proclaimed) apprentice Luke Triton solve mysteries; as well as a crossover game with Ace Attorney, and 2 games centred on Layton's children: a 3DS game with his adopted daughter Katrielle, and a mobile game featuring his biological son Alfendi.",the titular criminology professor and his young (self-proclaimed) apprentice Luke Triton solve mysteries;,"Um, actually, Layton isn't a criminology professor. He's an archaeology professor - a fact that never has any real relevance in the games."
By Peter the Human,Sid Meier's Civilization,Games,"In the original “Civilization”, Gandhi (the in-game leader of India) was rumored to suddenly become extremely aggressive and likely to use nuclear weapons if he adopted a “peaceful” form of government such as Democracy. When Gandhi returned as a leader in Civilization V, his personality was better reflected: he is the leader least likely to declare war and has the lowest statistics for “Nuke Production” and “Use of Nukes” in the game.",he is the leader least likely to declare war and has the lowest statistics for “Nuke Production” and “Use of Nukes” in the game.,"Um, actually, Gandhi doesn't have the lowest statistics for ""Nuke Production"" or ""Use of Nukes"" in Civ 5. As a nod to the original game, his stats for those are actually the highest."
By Peter the Human,Super Smash Bros.,Games,"“Super Smash Bros. Ultimate” players are spoilt for choice of female characters with playable characters such as Peach, Zelda, Bayonetta, Isabelle and Lucina – but in the original “Super Smash Bros. 64”, options were far more limited, with a choice of only ten male characters and two Pokémon: Pikachu and Jigglypuff.",with a choice of only ten male characters and two Pokémon: Pikachu and Jigglypuff.,"Um, actually, there was a female character in the original Super Smash Bros. Samus Aran from Metroid is female, and was in the original Super Smash Bros."
By Peter the Human,Undertale,Games,"Toriel, the motherly, goat-like figure that players encounter early on in “Undertale” serves as a tutorial: teaching the player the mechanics of the game and encouraging them to show mercy to their enemies rather than attack them. After giving the player a phone with which to contact her, Toriel gleefully encourages the player to leave the Ruins and explore the world.",Toriel gleefully encourages the player to leave the Ruins and explore the world.,"Um, actually, Toriel doesn't encourage the player to leave. Toriel actively tries to stop you from leaving the ruins."
By Peter the Human,"Warhammer 40,000",Games,"The Imperium of Man is a galaxy-spanning interstellar human empire, ruled by the living god known as the Emperor of Mankind and the Senatorum Imperialis on the capital of Earth. It is the ultimate authority for the majority of the human race in the late 41st millennium, although other humanoid species (such as Ogryns and Ratlings) are also classified as Imperial citizens.",ruled by the living god known as the Emperor of Mankind and the Senatorum Imperialis on the capital of Earth.,"Um, actually, the Emperor and Senatorum Imperialis aren't on Earth. The capital of the Imperium is Terra. In Warhammer 40k, “Earth” is an archaic name that hasn’t been used in millennia."
By Peter the Human,Alien,Horror,"After an alien burst from Executive Officer Kane's chest, the android Ash was secretly instructed by the Weylan-Yutani corporation to return the alien, with the crew considered expendable. Dallas, Parker, Lambert and Brett were all killed by the xenomorph; but Warrant Officer Ripley deactivated Ash and blasted the xenomorph into space, leaving her as the sole survivor of the Nostromo.",leaving her as the sole survivor of the Nostromo.,"Um, actually, Ripley wasn't the sole survivor of the Nostromo. The ship's cat, Jones, also survives."
By Peter the Human,American Horror Story,Horror,"In order to become The Supreme, the living embodiment of magic itself, a witch must master seven distinct magical abilities known as “The Seven Wonders”. These include Concilium (controlling someone’s mind through willpower), Descensum (projecting one’s soul into Hell, portrayed on the show as a fiery realm of evil and chaos), and Vitalum Vitalis (the power to balance the scales of life and death).","Descensum (projecting one’s soul into Hell, portrayed on the show as a fiery realm of evil and chaos),","Um, actually, Hell isn't a fiery realm of evil. Hell in American Horror Story is unique to each person."
By Peter the Human,American Psycho,Horror,"You like Huey Lewis and the News? In an iconic scene, Patrick Bateman dons a raincoat to murder his co-worker Paul Allen with an axe. Oblivious, Allen asks, ""Hey Bateman - why are there copies of the style section all over the place?"", shortly before Bateman turns on his stereo and hacks Paul to death to the sound of ""Hip to Be Square"".","Oblivious, Allen asks, ""Hey Bateman - why are there copies of the style section all over the place?"",","Um, actually, Paul doesn't refer to Patrick as Bateman. He refers to him as ""Halberstram"" - one of many instances throughout the film people mistake Patrick for someone else."
By Peter the Human,Annihilation,Horror,"“Annihilation” follows five women who undergo an expedition into an anomalous zone in Florida known as the “Shimmer”. Three of the expedition members – Cassie, Anya and Josie – are killed by a mutant bear, while the group’s leader Dr. Ventress disintegrates into a shimmering cloud which transforms into a doppelganger of the fifth member Lena. It is left ambiguous if Lena survived the Shimmer, or if she was replaced by her doppelganger.","Three of the expedition members – Cassie, Anya and Josie – are killed by a mutant bear,","Um, actually, one of the listed expedition members wasn’t killed by the bear. Josie, after concluding that Cassie’s dying mind was ‘refracted’ into the mutant bear, allows herself to ‘refract’ and turn into a humanoid plant to avoid a similar fate."
By Peter the Human,The Call of Cthulhu,Horror,"The short story “The Call of Cthulhu” tells the story of several characters’ experiences with a cult that worships the Great Old One, Cthulhu, who is trapped in the sunken city of Innsmouth. The narrator describes a statue of Cthulhu as “[yielding] simultaneous pictures of an octopus, a dragon, and a human caricature. ... A pulpy, tentacled head surmounted a grotesque and scaly body with rudimentary wings.”","the Great Old One, Cthulhu, who is trapped in the sunken city of Innsmouth.","Um, actually, the sunken city isn't called Innsmouth. Innsmouth is home to a different cult that worships the god Dagon in the story ""The Shadow Over Innsmouth"". Cthulhu lives in R'lyeh."
By Peter the Human,Choo-Choo Charles,Horror,"In indie horror game “Choo-Choo Charles”, the player controls a monster-hunting archivist. Players must upgrade their train's defences in order to fight and defeat the titular character, Charles; an evil spider-train hybrid monster that lives on the Isle of Sodor and wanders the landscape looking for people to eat.",an evil spider-train hybrid monster that lives on the Isle of Sodor and wanders the landscape looking for people to eat.,"Um, actually, Charles doesn't live on the Isle of Sodor. The Isle of Sodor is where Thomas the Tank Engine lives. Charles lives on the island of Aranearum."
By Peter the Human,Evil Clowns,Horror,"Send in the clowns! While some evil clowns are just serial killers who dress as clowns, like Twisty from “American Horror Story” or Captain Spaulding from “House of 1000 Corpses”; others are undead like the titular “Stitches”, aliens like the “Killer Klowns from Outer Space” or more eldritch or demonic beings who assume the form of clowns like Pennywise from “It”, Slappy from “Poltergeist”, The Violator from “Spawn” and Art the Clown from “Terrifier”.","demonic beings who assume the form of clowns like Pennywise from “It”, Slappy from “Poltergeist”, The Violator from “Spawn”","Um, actually, Slappy isn't an eldritch clown. While Robbie does own an unnamed clown doll in Poltergeist which becomes possessed, Slappy was the name of the doll in the Goosebumps book “Night of the Living Dummy”."
By Peter the Human,Hellraiser,Horror,"The Cenobites are disfigured, humanoid creatures who can no longer differentiate between pain and pleasure. Their leader describes them as “explorers in the further reaches of experience, demons to some, angels to others”. The Cenobites were summoned when the hedonistic Frank Cotton was revived by his former lover Julia bringing men to her attic, so Frank could drain their life force and regenerate his body.","The Cenobites were summoned when the hedonistic Frank Cotton was revived by his former lover Julia bringing men to her attic,","Um, actually, the Cenobites weren't summoned by Julia reviving Frank. They were summoned by Julia's step-daughter Kirsty solving the Lament Configuration - a puzzle box that summons the Cenobites."
By Xitel,Halloween III: Season of the Witch,Horror,"“Halloween III: Season of the Witch” is the only film in the Halloween franchise where Michael Meyers doesn't appear. An attempt to turn the franchise into an anthology series; the plot instead centers around an evil company known as Silver Shamrock, who plans to channel the power of Stonehenge via Halloween masks, turning childrens’ heads into snakes.",“Halloween III: Season of the Witch” is the only film in the Halloween franchise where Michael Meyers doesn't appear.,"Um, actually, Michael Myers does appear in Halloween III. In one scene, a clip of Michael Meyers from the original Halloween film can be seen on a TV in the background - Michael's mask is next to the TV in the same scene."
By Peter the Human,The Last of Us,Games,"“The Last of Us” takes place in a post-apocalyptic 2033, following the collapse of civilization after an outbreak of a mutant virus transforms its hosts into aggressive, zombie-like creatures known as “the infected”. Survivors live in totalitarian quarantine zones, independent settlements and nomadic groups; and the game largely centers around two survivors - the smuggler Joel and teenage girl Ellie, who appears to be immune to the infected.","following the collapse of civilization after an outbreak of a mutant virus transforms its hosts into aggressive, zombie-like creatures","Um, actually, the zombies aren't caused by a mutated virus. The zombies are caused by a mutated form of the Cordyceps fungus."
By Shinitenshi,Little Shop of Horrors,Horror,"The stage musical, loosely based on the 1960 low-budget movie “The Little Shop of Horrors”, follows Seymour Krelborn, who finds a strange plant that he names Audrey II after his co-worker. Audrey II must consume blood to survive and eventually plans world domination, but is defeated when Seymour electrocutes Audrey II, blowing it up.","but is defeated when Seymour electrocutes Audrey II, blowing it up.","Um, actually, Seymour doesn't defeat Audrey II. The film adaptation ends with Audrey II's electrocution - but in the musical, it's implied that it succeeds in eating all of humanity."
By Peter the Human,The Menu,Horror,"Celebrity chef Julian Slowik invites guests to a private island to enact revenge on the people who made him lose passion for his craft, or who profit from artisans like him. His victims include the food critic Lillian Bloom, angel investor Doug Verrick who made Julian relinquish control of his restaurant, and the actor George Diaz who left a negative Yelp review for one of Julian's restaurants.",and the actor George Diaz who left a negative Yelp review for one of Julian's restaurants.,"Um, actually, George didn't leave Julian a bad Yelp review. Slovik enacts his revenge on George because of how much he hated a movie he starred in and seeing him phone in his performance ruined his one day off in months."
By Peter the Human,The Mist,Horror,"“The Mist” follows a group of people trapped in a supermarket when a mysterious mist populated by tentacled beings, giant insects and pterodactyl-like creatures descends on their town. Although the supermarkets' patrons descend into religious fervor and begin sacrificing people to the monsters, the protagonist David and four other survivors make it to his car and are saved by the Army when the mist disperses.",the protagonist David and four other survivors make it to his car and are saved by the Army when the mist disperses.,"Um, actually, the four other survivors aren't rescued by the Army. Thinking they're doomed, David mercy kills his fellow survivors before stepping out the car to be killed by the monsters, moments before the Army arrives."
By Ghostlight & Peter the Human,Nope,Horror,"What initially appears to be a UFO hiding in a cloud and abducting horses near the Haywood Ranch turns out to be a highly territorial predatory organism, that OJ nicknames ""Jean Jacket"". Jean Jacket consumes living beings that look at it, and interferes with electronic equipment - but the Haywood siblings eventually get evidence of its existence using Holst's hand-cranked IMAX film camera.",but the Haywood siblings eventually get evidence of its existence using Holst's hand-cranked IMAX film camera.,"Um, actually, they don't get video evidence from Holst's camera. Jean Jacket eats the camera - but they get a picture of it from the analog camera in Jupe's theme park."
By Peter the Human,Resident Evil,Games,"The Umbrella Corporation is a powerful megacorporation responsible for the creation of several volatile mutagens. Umbrella's employee pledge is “Obedience Breeds Discipline, Discipline Breeds Unity, Unity Breeds Power, Power is Life”. Only marginally less sinister are the company's mottos: “More human than human” in the film series, and “Preserving the health of the people” in the game “Resident Evil: Umbrella Chronicles”.","Only marginally less sinister are the company's mottos: “More human than human” in the film series,","Um, actually, “More human than human” isn't Umbrella's slogan. That's the slogan of the Tyrell Corporation in Blade Runner. In the films, Umbrella's slogan is “Our business is life itself!”"
By Peter the Human,Signs,Horror,"""Signs"" follows Episcopal priest Graham and his family amidst an alien invasion. The movie's director M. Night Shyamalan cameos as Ray Reddy, a vet responsible for the accidental death of Graham's wife. Ray subtly foreshadows the aliens' weakness by saying that he is fleeing ""over the rainbow"" - both the aliens and the Wicked Witch of the West can be killed by water.","Ray subtly foreshadows the aliens' weakness by saying that he is fleeing ""over the rainbow"" - both the aliens and the Wicked Witch of the West can be killed by water.","Um, actually, Ray doesn't say he's fleeing “over the rainbow”. Ray says that he's fleeing to a lakeside, and straight up says “I don't think they like water”."
